index,belongs_to_collection,count,mean,sum
1116,"Silent Night, Deadly Night Collection",2,84445.0,168890.0
1642,Witchboard Collection,1,168180.0,168180.0
682,Kidulthood Collection,1,165000.0,165000.0
262,Cocaine Cowboys,1,163000.0,163000.0
1585,V/H/S Collection,3,41644.666666666664,124934.0
272,Cowgirls n' Angels Collection,1,120680.0,120680.0
1660,Yossi Collection,1,116207.0,116207.0
502,Ghost in the Shell: Arise,1,101203.0,101203.0
412,Eye of the Dolphin Collection,1,71904.0,71904.0
1487,The Three Mothers Collection,1,54947.0,54947.0
553,Hatchet Collection,1,52604.0,52604.0
947,Paradise Trilogy,3,12492.0,37476.0
1154,Stake Land Collection,1,33245.0,33245.0
1229,The ABCs of Death Collection,2,14415.5,28831.0
1214,Teenage Apocalypse Trilogy,1,27354.0,27354.0
1564,Tulse Luper,1,25800.0,25800.0
390,Elektra Luxx Collection,2,9053.5,18107.0
352,Django - Original films,1,17277.0,17277.0
1431,The Philadelphia Experiment - Collezione,1,2970.0,2970.0
448,Fist of the North Star: The Legends of the True Savior,1,862.0,862.0
1532,Tiny Times Collection,2,63.0,126.0
1439,The Prophecy Collection,1,16.0,16.0
144,Bats Collection,1,10.0,10.0
192,Borsalino Collection,1,3.0,3.0
1579,Unna Trilogie,0,,0.0
1205,Tarzan (Gordon Scott series),0,,0.0
1084,Scuola di ladri - Collezione,0,,0.0
1100,Sharktopus Collection,0,,0.0
1101,Sharpe Collection,0,,0.0
1609,Wallander (Rolf Lassgård),0,,0.0
1083,Screwballs Collection,0,,0.0
1691,Чебурашка и крокодил Гена,0,,0.0
1679,Çalgı Çengi Collection,0,,0.0
1680,Şevkat Yerimdar Serisi,0,,0.0
1616,Warriors of the Rainbow: The Seediq Bale Saga,0,,0.0
1094,Shadow Warriors,0,,0.0
1206,Tarzan (Johnny Weissmuller series),0,,0.0
1102,She Collection,0,,0.0
1207,Tarzan (Lex Barker series),0,,0.0
1208,Tarzan (Mike Henry series),0,,0.0
1692,Что Творят мужчины! (Коллекция),0,,0.0
1574,Un éléphant ça trompe énormément,0,,0.0
1103,Sherlock Holmes (1939 series),0,,0.0
1693,男はつらいよ シリーズ,0,,0.0
1085,See No Evil Collection,0,,0.0
1611,War Trilogy,0,,0.0
1193,Tada's Do-It-All Collection,0,,0.0
1099,Sharknado Collection,0,,0.0
1194,Tai Chi Collection,0,,0.0
1614,Warlock Collection,0,,0.0
1195,Tainá,0,,0.0
1196,Takashi Miike's Black Society Trilogy,0,,0.0
1105,Sherlock Holmes: The Golden Years Collection,0,,0.0
1098,Shark.Attack,0,,0.0
1197,Takashi Miike's Young Thugs series,0,,0.0
1092,Sex is Zero Collection,0,,0.0
1615,Warriors of Virtue Collection,0,,0.0
1612,War of the Worlds Collection,0,,0.0
1199,Tales From The Dark Collection,0,,0.0
1580,Unoffical Ghosthouse Series,0,,0.0
1201,Tales of the Four Seasons,0,,0.0
1089,Sex Up Filmreihe,0,,0.0
1088,Seventh Company Collection,0,,0.0
1087,Seven Dwarfs Collection,0,,0.0
1086,Seed Collection,0,,0.0
1690,Сказки Чуковского,0,,0.0
1114,Silence of God Trilogy by Ingmar Bergman,0,,0.0
1681,Алиса в стране чудес (Коллекция),0,,0.0
1166,Steal This Film Collection,0,,0.0
1171,Stray Cat Rock Collection,0,,0.0
1598,Varg Veum Collection,0,,0.0
1619,We Were Here,0,,0.0
1597,Vares Collection,0,,0.0
1211,Teen Beach Collection,0,,0.0
1594,Vampires Collection,0,,0.0
1593,Vampire Karnstein (Hammer series),0,,0.0
1584,Uuno Turhapuro,0,,0.0
1168,Stepford Collection,0,,0.0
1138,Snow Collection,0,,0.0
1592,Vampire Hunter D Collection,0,,0.0
1591,Vampire Boys Collection,0,,0.0
1140,Sometimes They Come Back Collection,0,,0.0
1141,Son of Batman Collection,0,,0.0
1106,Shiloh Collection,0,,0.0
1590,Valami Amerika gyűjtemény,0,,0.0
1586,V: The Collection,0,,0.0
1589,Vai Que Dá Certo,0,,0.0
1687,Облако-рай (Коллекция),0,,0.0
1147,Spiders - Collection,0,,0.0
1162,Star Wreck Collection,0,,0.0
1161,Star Wars: The Ewok Adventures Collection,0,,0.0
1148,Spirits' Homecoming Collection,0,,0.0
1587,Vabank (Collection),0,,0.0
1151,Spud Collection,0,,0.0
1686,Никто не знает про секс - Коллекция,0,,0.0
